process : fdm-abs  (ABS filament)
profile : 2 perimeters / 15% infill (TPU sole at 40%)

part                               qty   vol cm3   g/piece   g total  how
battery_pack_lid                     1     23.64     12.51     12.51  sliced
body_back                            1     95.45     67.96     67.96  sliced
body_front                           1    135.44     53.37     53.37  sliced
body_middle_bottom                   1    145.80     77.86     77.86  sliced
body_middle_top                      1     76.26     61.41     61.41  sliced
bulb                                 1      1.69      1.72      1.72  sliced
flash_light_module                   1     12.52      6.61      6.61  sliced
flash_reflector_interface            1      2.21      2.21      2.21  sliced
foot_bottom_pla                      2     15.88      7.95     15.90  sliced
foot_bottom_tpu                      2     23.60     17.90     35.80  sliced
foot_side                            2     21.45     12.49     24.98  sliced
foot_top                             2     39.65     20.43     40.86  sliced
head                                 1    229.35    157.78    157.78  sliced
head_bot_sheet                       1     65.91     49.19     49.19  sliced
head_pitch_to_yaw                    1     13.55     12.02     12.02  sliced
head_roll_mount                      1     13.37      9.79      9.79  sliced
head_yaw_to_roll                     1     29.42     15.43     15.43  sliced
knee_to_ankle_left_sheet             4      8.26      6.81     27.24  sliced
knee_to_ankle_right_sheet            4      6.54      7.10     28.40  sliced
left_antenna_holder                  1      2.93      3.15      3.15  sliced
left_cache                           1     64.61     44.82     44.82  sliced:rot-x
left_eye                             1      1.43      1.55      1.55  sliced
left_roll_to_pitch                   1     29.64     17.29     17.29  sliced
leg_spacer                           4      7.05      4.56     18.24  sliced
neck_left_sheet                      1      8.06      5.06      5.06  sliced
neck_right_sheet                     1      6.16      5.13      5.13  sliced
right_antenna_holder                 1      2.93      3.11      3.11  sliced
right_cache                          1     64.61     45.02     45.02  sliced:rot-x
right_eye                            1      4.63      4.52      4.52  sliced
right_roll_to_pitch                  1     29.64     17.36     17.36  sliced
roll_motor_bottom                    2      8.49      6.81     13.62  sliced
roll_motor_top                       2      9.18      5.89     11.78  sliced
speaker_interface                    1      1.80      1.83      1.83  sliced
speaker_stand                        1      6.99      6.49      6.49  sliced
thermal_partition                    1     13.07     13.28     13.28  sliced
trunk_bottom                         1     22.24     11.41     11.41  sliced
trunk_top                            1    144.68     52.45     52.45  sliced
------------------------------------------------------------------------------
TOTAL                               52   1571.94              977.15
