process : fdm-asa  (ASA filament)
profile : 2 perimeters / 15% infill (TPU sole at 40%)

part                               qty   vol cm3   g/piece   g total  how
battery_pack_lid                     1     23.64     12.87     12.87  sliced
body_back                            1     95.45     69.92     69.92  sliced
body_front                           1    135.44     54.91     54.91  sliced
body_middle_bottom                   1    145.80     80.11     80.11  sliced
body_middle_top                      1     76.26     63.18     63.18  sliced
bulb                                 1      1.69      1.77      1.77  sliced
flash_light_module                   1     12.52      6.80      6.80  sliced
flash_reflector_interface            1      2.21      2.28      2.28  sliced
foot_bottom_pla                      2     15.88      8.18     16.36  sliced
foot_bottom_tpu                      2     23.60     17.90     35.80  sliced
foot_side                            2     21.45     12.85     25.70  sliced
foot_top                             2     39.65     21.02     42.04  sliced
head                                 1    229.35    162.33    162.33  sliced
head_bot_sheet                       1     65.91     50.61     50.61  sliced
head_pitch_to_yaw                    1     13.55     12.37     12.37  sliced
head_roll_mount                      1     13.37     10.07     10.07  sliced
head_yaw_to_roll                     1     29.42     15.87     15.87  sliced
knee_to_ankle_left_sheet             4      8.26      7.01     28.04  sliced
knee_to_ankle_right_sheet            4      6.54      7.30     29.20  sliced
left_antenna_holder                  1      2.93      3.24      3.24  sliced
left_cache                           1     64.61     46.11     46.11  sliced:rot-x
left_eye                             1      1.43      1.60      1.60  sliced
left_roll_to_pitch                   1     29.64     17.79     17.79  sliced
leg_spacer                           4      7.05      4.69     18.76  sliced
neck_left_sheet                      1      8.06      5.21      5.21  sliced
neck_right_sheet                     1      6.16      5.28      5.28  sliced
right_antenna_holder                 1      2.93      3.20      3.20  sliced
right_cache                          1     64.61     46.32     46.32  sliced:rot-x
right_eye                            1      4.63      4.65      4.65  sliced
right_roll_to_pitch                  1     29.64     17.86     17.86  sliced
roll_motor_bottom                    2      8.49      7.00     14.00  sliced
roll_motor_top                       2      9.18      6.06     12.12  sliced
speaker_interface                    1      1.80      1.88      1.88  sliced
speaker_stand                        1      6.99      6.68      6.68  sliced
thermal_partition                    1     13.07     13.66     13.66  sliced
trunk_bottom                         1     22.24     11.74     11.74  sliced
trunk_top                            1    144.68     53.96     53.96  sliced
------------------------------------------------------------------------------
TOTAL                               52   1571.94             1004.29
