process : fdm-petg  (PETG filament)
profile : 2 perimeters / 15% infill (TPU sole at 40%)

part                               qty   vol cm3   g/piece   g total  how
battery_pack_lid                     1     23.64     15.27     15.27  sliced
body_back                            1     95.45     82.99     82.99  sliced
body_front                           1    135.44     65.17     65.17  sliced
body_middle_bottom                   1    145.80     95.08     95.08  sliced
body_middle_top                      1     76.26     74.99     74.99  sliced
bulb                                 1      1.69      2.10      2.10  sliced
flash_light_module                   1     12.52      8.08      8.08  sliced
flash_reflector_interface            1      2.21      2.70      2.70  sliced
foot_bottom_pla                      2     15.88      9.71     19.42  sliced
foot_bottom_tpu                      2     23.60     17.90     35.80  sliced
foot_side                            2     21.45     15.25     30.50  sliced
foot_top                             2     39.65     24.95     49.90  sliced
head                                 1    229.35    192.67    192.67  sliced
head_bot_sheet                       1     65.91     60.07     60.07  sliced
head_pitch_to_yaw                    1     13.55     14.68     14.68  sliced
head_roll_mount                      1     13.37     11.95     11.95  sliced
head_yaw_to_roll                     1     29.42     18.84     18.84  sliced
knee_to_ankle_left_sheet             4      8.26      8.32     33.28  sliced
knee_to_ankle_right_sheet            4      6.54      8.67     34.68  sliced
left_antenna_holder                  1      2.93      3.84      3.84  sliced
left_cache                           1     64.61     54.73     54.73  sliced:rot-x
left_eye                             1      1.43      1.90      1.90  sliced
left_roll_to_pitch                   1     29.64     21.12     21.12  sliced
leg_spacer                           4      7.05      5.57     22.28  sliced
neck_left_sheet                      1      8.06      6.18      6.18  sliced
neck_right_sheet                     1      6.16      6.27      6.27  sliced
right_antenna_holder                 1      2.93      3.80      3.80  sliced
right_cache                          1     64.61     54.98     54.98  sliced:rot-x
right_eye                            1      4.63      5.52      5.52  sliced
right_roll_to_pitch                  1     29.64     21.20     21.20  sliced
roll_motor_bottom                    2      8.49      8.31     16.62  sliced
roll_motor_top                       2      9.18      7.19     14.38  sliced
speaker_interface                    1      1.80      2.24      2.24  sliced
speaker_stand                        1      6.99      7.93      7.93  sliced
thermal_partition                    1     13.07     16.21     16.21  sliced
trunk_bottom                         1     22.24     13.93     13.93  sliced
trunk_top                            1    144.68     64.05     64.05  sliced
------------------------------------------------------------------------------
TOTAL                               52   1571.94             1185.35
